BWUD0rwZ77,C1EX6MCfHJ,Dy4qBSiIXz,Goot4hgwjs,O1XxGAw2Or,QRY7pzbvw7,T7YMnaqSlZ,adjustChair,beacon,createdAt,dCKRWJP4Yt,date,dayPortion,deck,dv95IK5ZQI,excit,extrovert,findSpace,generation,hour,installation,loBwcSTbPi,lookingFor_0,lookingFor_1,manager,nqZm1YqSog,numConf,pP9Upzhz1x,position,position2,privateArea,project,standingHeight,tech,time,type,uery7ntiPI,weekday,zDRgT5xGDM
0.23,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,Yes,Product Development,No,[object Object],5/13/14 23:48,Individual,5/13/14,After 3pm,oNjFzUQwqN,1,0,0.46,No,Gen Y / Millennium (~ after 1981),23,793be3926847967461c1377a514f78d37b7ac469967155dc28b75478cfc3951b,N/A,Studio work area (open area),,Individual,No,1,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,Yes,0.23,Less than one year,deck,0,Monday,0.46
0.39,PD Regulatory,3-5 years,Gen X (~ between 1961 - 1980),,No,Product Development,No,[object Object],5/13/14 23:38,Individual,5/13/14,After 3pm,oNjFzUQwqN,N/A,0.02,-0.54,N/A,Gen X (~ between 1961 - 1980),23,44f0121089b4326fd2786956411a6b8ecc1d69dbbecbcf031f63c8c53dd2c946,N/A,,,Individual,N/A,Not applicable,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.39,3-5 years,deck,0.02,Thursday,-0.54
0.21,PD Operations,6-10 years,Gen X (~ between 1961 - 1980),,No,Product Development,No,[object Object],5/13/14 23:35,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,0,0.26,N/A,Gen X (~ between 1961 - 1980),23,88f09ffd061919542fffab2ac3db5817011a66eddef55d97e78a5b0283b3d8e2,N/A,,,Individual,N/A,0,No,Product Development,PD Operations,N/A,Em0B2UIoWq,No,0.21,6-10 years,deck,0,Thursday,0.26
0.49,PD Operations,6-10 years,Baby Boomer (~ between 1946 - 1960),,No,Product Development,No,[object Object],5/13/14 23:33,Individual,5/13/14,After 3pm,oNjFzUQwqN,N/A,-0.82,0,N/A,Baby Boomer (~ between 1946 - 1960),23,1a1fe5024b910fcc3e758bd4ca6496e38723e91b96cd402c757f3cce9b9afab4,N/A,,,Individual,N/A,Not applicable,No,Product Development,PD Operations,N/A,Em0B2UIoWq,No,0.49,6-10 years,deck,-0.82,Monday,0
0.73,PD Regulatory,3-5 years,Gen X (~ between 1961 - 1980),,No,Product Development,No,[object Object],5/13/14 23:29,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,-0.13,0.03,N/A,Gen X (~ between 1961 - 1980),23,5226fd49ca7632abac10ca25b9f39892285086a5643524a936851822cf065452,N/A,,,Individual,N/A,0,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.73,3-5 years,deck,-0.13,Thursday,0.03
0,PD Regulatory,6-10 years,Gen X (~ between 1961 - 1980),,Yes,Product Development,Yes,[object Object],5/13/14 23:09,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,0.27,0.65,N/A,Gen X (~ between 1961 - 1980),23,8dbca08c12af48ea6410edd09cbb2c7321a5544409592b7ec0c6198a15b6fb2e,N/A,,,Individual,N/A,0,Yes,Product Development,PD Regulatory,N/A,Em0B2UIoWq,Yes,0,6-10 years,deck,0.27,Thursday,0.65
1,,1-2 years,Gen X (~ between 1961 - 1980),Workplace Effectiveness,No,,No,[object Object],5/13/14 23:09,Manager,5/13/14,After 3pm,oNjFzUQwqN,0,1,0.92,N/A,Gen X (~ between 1961 - 1980),23,967bb64618fdae9f0a7f01cb75e5f85b7d47c98e9edc9c49eab1d6d9def20b82,N/A,,,Manager,N/A,0,No,,Workplace Effectiveness,N/A,Em0B2UIoWq,No,1,1-2 years,deck,1,Thursday,0.92
0.59,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,No,Product Development,Yes,[object Object],5/13/14 23:02,Individual,5/13/14,After 3pm,oNjFzUQwqN,1,0,0,Yes,Gen Y / Millennium (~ after 1981),23,0e850b5f87d93f31605e7caea6d92d4f06d701048418c2d275929381cd1492fb,N/A,,,Individual,Yes,1,Yes,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.59,Less than one year,deck,0,Thursday,0
0.8,PD Regulatory,1-2 years,Gen X (~ between 1961 - 1980),,Yes,Product Development,,[object Object],5/13/14 23:01,Individual,5/13/14,After 3pm,oNjFzUQwqN,4-Jan,0.4,-0.5,,Gen X (~ between 1961 - 1980),23,9c99bd1931dd450458a8a038e374deebdb8dd397169e04e5f7a59cb8aa4bff0b,N/A,,,Individual,,3,,Product Development,PD Regulatory,N/A,Em0B2UIoWq,Yes,0.8,1-2 years,deck,0.4,Thursday,-0.5
0.73,,3-5 years,Gen X (~ between 1961 - 1980),Workplace Effectiveness,No,,Yes,[object Object],5/9/14 15:57,Individual,5/9/14,11am - 3pm,oNjFzUQwqN,0,-0.77,-0.16,N/A,Gen X (~ between 1961 - 1980),15,0d7d3c929e63a778d7daa732ac45abaa2df5b99e6037089051374ae234fcb5cb,N/A,,,Individual,N/A,0,Yes,,Workplace Effectiveness,N/A,Em0B2UIoWq,No,0.73,3-5 years,deck,-0.77,Thursday,-0.16
1,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,,Product Development,,[object Object],5/13/14 23:35,Individual,5/13/14,After 3pm,oNjFzUQwqN,4-Jan,0.36,0.65,,Gen Y / Millennium (~ after 1981),23,6da069b81d9f1f47b6a5bc335d9a4c25d97384da90bffb4b619b4fe6f5f748ae,No,,,Individual,,3,,Product Development,PD Regulatory,No,Em0B2UIoWq,,1,Less than one year,deck,0.36,Thursday,0.65
0,PD Operations,11-20 years,Gen X (~ between 1961 - 1980),,Yes,Product Development,Yes,[object Object],5/13/14 23:29,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,-1,-1,No,Gen X (~ between 1961 - 1980),23,ad7cda90e4b2a8d091bbb3e6839a5e00f87abf6f68a1dff59939da39b3f3c357,No,2-Person breakaway,Conference Room,Individual,No,0,Yes,Product Development,PD Operations,No,Em0B2UIoWq,Yes,0,11-20 years,deck,-1,Thursday,-1
0.46,PD Regulatory,6-10 years,Baby Boomer (~ between 1946 - 1960),,No,Product Development,Yes,[object Object],5/13/14 23:26,Individual,5/13/14,After 3pm,oNjFzUQwqN,1,-0.6,-0.37,Yes,Baby Boomer (~ between 1946 - 1960),23,3378178273cda3b2b7b98d9fad2d28f250836b9e0f803af2d9a2ee27a77aec8c,No,,,Individual,Yes,1,Yes,Product Development,PD Regulatory,No,Em0B2UIoWq,No,0.46,6-10 years,deck,-0.6,Monday,-0.37
0,,6-10 years,Traditionalists (~ before 1945),Workplace Effectiveness,No,,Yes,[object Object],5/12/14 23:11,Individual,5/12/14,After 3pm,oNjFzUQwqN,4-Jan,-0.76,0,No,Traditionalists (~ before 1945),23,8fb95b869af974e7c35f7f253480ce34f8259435a8bd718b81e7b0d4d46988f9,No,1-Person breakaway,,Individual,No,3,Yes,,Workplace Effectiveness,No,Em0B2UIoWq,No,0,6-10 years,deck,-0.76,Thursday,0
-0.6,,Less than one year,Baby Boomer (~ between 1946 - 1960),Workplace Effectiveness,No,,No,[object Object],5/14/14 15:43,Manager,5/14/14,11am - 3pm,oNjFzUQwqN,N/A,1,0.52,N/A,Baby Boomer (~ between 1946 - 1960),15,f371fd3d265628029294535f468a134e3d34918f32ed36f142fed7e4cdf68c3b,Yes,,,Manager,N/A,Not applicable,No,,Workplace Effectiveness,Yes,Em0B2UIoWq,No,-0.6,Less than one year,deck,1,Friday,0.52
0.53,PD Regulatory,3-5 years,Gen Y / Millennium (~ after 1981),,No,Product Development,Yes,[object Object],5/14/14 15:30,Individual,5/14/14,11am - 3pm,oNjFzUQwqN,1,0.44,0,Yes,Gen Y / Millennium (~ after 1981),15,1abee9252fdb893ad07979fcdbc83efb074b873c444127bfed91d752c4fcf537,Yes,,,Individual,Yes,1,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.53,3-5 years,deck,0.44,Friday,0
0.42,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,No,Product Development,Yes,[object Object],5/14/14 14:28,Individual,5/14/14,11am - 3pm,oNjFzUQwqN,N/A,0,0.28,Yes,Gen Y / Millennium (~ after 1981),14,e44b88c391085cbdd007e618867a126b76cc6c4bd1cd417ff067e3edd5cbbe94,Yes,,,Individual,Yes,Not applicable,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.42,Less than one year,deck,0,Monday,0.28
1,,6-10 years,Baby Boomer (~ between 1946 - 1960),Governance,No,,Yes,[object Object],5/14/14 14:12,Manager,5/14/14,11am - 3pm,oNjFzUQwqN,1,1,-0.9,Yes,Baby Boomer (~ between 1946 - 1960),14,0f04b4f6d6b883d48b044f8307064c0ded81da132776e4a721e57c2ab020e51a,Yes,,,Manager,Yes,1,Yes,,Governance,Yes,Em0B2UIoWq,No,1,6-10 years,deck,1,Tuesday,-0.9
1,,6-10 years,Gen X (~ between 1961 - 1980),"Partnering Function: HR, Finance, Government Affairs, Procurement",No,,No,[object Object],5/14/14 10:27,Individual,5/14/14,Before 11am,oNjFzUQwqN,0,-0.37,-0.33,N/A,Gen X (~ between 1961 - 1980),10,771a42a708f590b1c108b60d31bb2d8b79aee2ad39d3cbe58be3ace21e99ec62,Yes,,,Individual,N/A,0,No,,"Partnering Function: HR, Finance, Government Affairs, Procurement",Yes,Em0B2UIoWq,No,1,6-10 years,deck,-0.37,Thursday,-0.33
0.44,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,Yes,Product Development,Yes,[object Object],5/14/14 4:03,Individual,5/14/14,Before 11am,oNjFzUQwqN,1,-0.04,-0.35,Yes,Gen Y / Millennium (~ after 1981),4,88172f2eefbea4dbe0cfef705ccfb82b89d0c324ca28f39ad0228628a2a1206a,Yes,,,Individual,Yes,1,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,Yes,0.44,Less than one year,deck,-0.04,Thursday,-0.35
0.64,PD Regulatory,6-10 years,Gen X (~ between 1961 - 1980),,No,Product Development,Yes,[object Object],5/14/14 0:34,Individual,5/14/14,Before 11am,oNjFzUQwqN,4-Jan,0.62,0.05,Yes,Gen X (~ between 1961 - 1980),0,0f889d5aaaaeaa6dce653d869ce075b232eca7d42e93142d4c0b86541466dfab,Yes,,,Individual,Yes,3,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.64,6-10 years,deck,0.62,Friday,0.05
0.95,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,Yes,Product Development,Yes,[object Object],5/14/14 0:32,Individual,5/14/14,Before 11am,oNjFzUQwqN,1,-0.46,0.27,In another building,Gen Y / Millennium (~ after 1981),0,cba7aa1239a17381593bb793b3daed8d050a57433d80ce6959d21f4ec94fc708,Yes,,,Individual,"No, I was able to find it in a different neighborhood",1,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,Yes,0.95,Less than one year,deck,-0.46,Monday,0.27
-0.45,PD Regulatory,6-10 years,Gen X (~ between 1961 - 1980),,No,Product Development,,[object Object],5/14/14 0:26,Manager,5/14/14,Before 11am,oNjFzUQwqN,4-Jan,-0.49,-1,Yes,Gen X (~ between 1961 - 1980),0,c4a8650df2ed3db761ade2d7f565773e3ff6636e805ec2baacac156d41ff9b5b,Yes,,,Manager,Yes,3,,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,-0.45,6-10 years,deck,-0.49,Thursday,-1
0.65,PD Regulatory,1-2 years,Gen Y / Millennium (~ after 1981),,No,Product Development,Yes,[object Object],5/13/14 23:40,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,-0.23,-0.65,Yes,Gen Y / Millennium (~ after 1981),23,46dae6a53b593008fad7fb452d344167d652e8f74f6a4381d99df6d34926308e,Yes,,,Individual,Yes,0,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.65,1-2 years,deck,-0.23,Thursday,-0.65
-0.01,,1-2 years,Gen X (~ between 1961 - 1980),"Partnering Function: HR, Finance, Government Affairs, Procurement",No,,Yes,[object Object],5/13/14 23:36,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,0.65,-0.63,Yes,Gen X (~ between 1961 - 1980),23,22d7491e14453f519519347261b88a15a89673506574e846f4e31c170f83460e,Yes,,,Individual,Yes,0,Yes,,"Partnering Function: HR, Finance, Government Affairs, Procurement",Yes,Em0B2UIoWq,No,-0.01,1-2 years,deck,0.65,Thursday,-0.63
0.47,PD Regulatory,11-20 years,Gen X (~ between 1961 - 1980),,No,Product Development,Yes,[object Object],5/13/14 23:35,Individual,5/13/14,After 3pm,oNjFzUQwqN,4-Jan,-0.47,0.31,Yes,Gen X (~ between 1961 - 1980),23,456161c1df186231c186357773dd2744e2c20b496261441b7883dca1cabcf98f,Yes,,,Individual,Yes,3,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.47,11-20 years,deck,-0.47,Monday,0.31
0.93,,6-10 years,Gen X (~ between 1961 - 1980),PMO,No,,Yes,[object Object],5/13/14 23:28,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,-0.01,0.55,Yes,Gen X (~ between 1961 - 1980),23,615345898fcde887151177840753ce5dca9b520591381a0eaa242b11ee0fdb7d,Yes,,,Individual,Yes,0,Yes,,PMO,Yes,Em0B2UIoWq,No,0.93,6-10 years,deck,-0.01,Thursday,0.55
-0.61,PD Regulatory,3-5 years,Baby Boomer (~ between 1946 - 1960),,No,Product Development,No,[object Object],5/13/14 23:20,Individual,5/13/14,After 3pm,oNjFzUQwqN,4-Jan,0.4,-0.69,Yes,Baby Boomer (~ between 1946 - 1960),23,9c80833fa29da6bda175996485207de02f1b3d2b40e15261bf0c14ae07acd9b8,Yes,,,Individual,Yes,3,No,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,-0.61,3-5 years,deck,0.4,Friday,-0.69
0.36,PD Regulatory,3-5 years,Gen X (~ between 1961 - 1980),,No,Product Development,Yes,[object Object],5/13/14 23:19,Individual,5/13/14,After 3pm,oNjFzUQwqN,1,-0.17,-0.71,Yes,Gen X (~ between 1961 - 1980),23,f6c8ad446362d9d18e7c14f737f5e49c78304258f0aec76479191247327cb356,Yes,,,Individual,Yes,1,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.36,3-5 years,deck,-0.17,Monday,-0.71
0.49,PD Regulatory,1-2 years,Gen Y / Millennium (~ after 1981),,No,Product Development,Yes,[object Object],5/13/14 23:11,Individual,5/13/14,After 3pm,oNjFzUQwqN,0,0.01,-0.06,Yes,Gen Y / Millennium (~ after 1981),23,daf63cebea0dea8db24b6a5bf664932faa13ec2b9afeb917b084ed002ed073e6,Yes,,,Individual,Yes,0,Yes,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.49,1-2 years,deck,0.01,Friday,-0.06
0.54,PD Regulatory,3-5 years,Gen Y / Millennium (~ after 1981),,No,Product Development,No,[object Object],5/13/14 23:02,Individual,5/13/14,After 3pm,oNjFzUQwqN,4-Jan,0.25,0.05,Yes,Gen Y / Millennium (~ after 1981),23,b888b4b74e2defda7b82fb35a563f00f1e3d3ba40001519be8611a86ce88a56e,Yes,,,Individual,Yes,3,No,Product Development,PD Regulatory,Yes,Em0B2UIoWq,No,0.54,3-5 years,deck,0.25,Friday,0.05
0.64,,Less than one year,Gen X (~ between 1961 - 1980),Workplace Effectiveness,No,,Yes,[object Object],5/13/14 23:02,Individual,5/13/14,After 3pm,oNjFzUQwqN,1,0.32,0,Yes,Gen X (~ between 1961 - 1980),23,7cf2c32c25e7db93f0fdb4be1b1a05b885340cca9b83f3c05cdd9d357f932fda,Yes,,,Individual,Yes,1,Yes,,Workplace Effectiveness,Yes,Em0B2UIoWq,No,0.64,Less than one year,deck,0.32,Thursday,0
1,,6-10 years,Baby Boomer (~ between 1946 - 1960),Governance,No,,Yes,[object Object],5/13/14 0:37,Manager,5/13/14,Before 11am,oNjFzUQwqN,4-Jan,1,-0.9,Yes,Baby Boomer (~ between 1946 - 1960),0,0f04b4f6d6b883d48b044f8307064c0ded81da132776e4a721e57c2ab020e51a,Yes,,,Manager,Yes,3,Yes,,Governance,Yes,Em0B2UIoWq,No,1,6-10 years,deck,1,Tuesday,-0.9
0.95,,Less than one year,Gen Y / Millennium (~ after 1981),Other,Yes,,Yes,[object Object],5/12/14 9:35,Individual,5/12/14,Before 11am,oNjFzUQwqN,0,1,-0.88,Yes,Gen Y / Millennium (~ after 1981),9,daccab1a046652d7959583b49d48982b0d8b52f5fe0e80d9f2b04f5ee82f4a18,Yes,,,Individual,Yes,0,Yes,,Other,Yes,Em0B2UIoWq,Yes,0.95,Less than one year,deck,1,Thursday,-0.88
